@relation segment0

@attribute Region-centroid-col real [1.0, 254.0]
@attribute Region-centroid-row real [11.0, 251.0]
@attribute Region-pixel-count real [9.0, 10.0]
@attribute Short-line-density-5 real [0.0, 0.33333334]
@attribute Short-line-density-2 real [0.0, 0.22222222]
@attribute Vedge-mean real [0.0, 29.222221]
@attribute Vegde-sd real [0.0, 991.7184]
@attribute Hedge-mean real [0.0, 44.722225]
@attribute Hedge-sd real [-1.5894573E-8, 1386.3292]
@attribute Intensity-mean real [0.0, 143.44444]
@attribute Rawred-mean real [0.0, 137.11111]
@attribute Rawblue-mean real [0.0, 150.88889]
@attribute Rawgreen-mean real [0.0, 142.55556]
@attribute Exred-mean real [-49.666668, 9.888889]
@attribute Exblue-mean real [-12.444445, 82.0]
@attribute Exgreen-mean real [-33.88889, 24.666666]
@attribute Value-mean real [0.0, 150.88889]
@attribute Saturatoin-mean real [0.0, 1.0]
@attribute Hue-mean real [-3.0441751, 2.9124804]
@attribute Class {positive,negative}

@data
218,178,9,0.111111,0,0.833333,0.547722,1.111109,0.544331,59.62963,52.444443,75.22222,51.22222,-21.555555,46.77778,-25.222221,75.22222,0.318996,-2.040554,negative
113,130,9,0,0,0.277778,0.250924,0.333333,0.365148,0.888889,0,2.555556,0.111111,-2.666667,5,-2.333333,2.555556,1,-2.123254,negative
202,41,9,0,0,0.944448,0.772202,1.111112,1.025597,123.03704,111.888885,139.77779,117.44444,-33.444443,50.22222,-16.777779,139.77779,0.199347,-2.299918,negative
32,173,9,0,0,1.722222,1.781593,9,6.749488,43.592594,39.555557,52.88889,38.333336,-12.111111,27.88889,-15.777778,52.88889,0.266914,-1.998857,negative
61,197,9,0,0,1.444444,1.515353,2.611111,1.925463,49.592594,44.22222,61.555557,43,-16.11111,35.88889,-19.777779,61.555557,0.302925,-2.022274,negative
149,185,9,0,0,1.555555,1.068055,3.055555,1.925463,49.333332,45.333332,59.555557,43.11111,-12,30.666666,-18.666666,59.555557,0.275889,-1.95277,negative
29,111,9,0,0,0.388889,0.240741,0.611111,0.151852,5.407407,6.888889,6.333334,3,4.444445,2.777778,-7.222222,6.888889,0.564153,-0.897859,positive
1,81,9,0,0,12.166667,267.45554,9.222222,205.36296,21.333334,14,30.555555,19.444445,-22,27.666666,-5.666666,30.555555,0.595282,-2.438409,negative
69,85,9,0.111111,0,3.111111,8.207409,3.944444,9.440739,21.444445,20.444445,28.11111,15.777778,-3,20,-17,28.11111,0.437404,-1.659879,positive
152,83,9,0,0,4.444444,1.327766,0.944444,0.680414,26.518518,23.333334,33.22222,23,-9.555555,20.11111,-10.555555,33.22222,0.307415,-2.063242,negative
86,197,9,0.111111,0.111111,1.611112,1.451691,1.277779,1.103865,63.22222,56.22222,77.77778,55.666668,-21,43.666668,-22.666666,77.77778,0.285333,-2.06802,negative
220,220,9,0.111111,0,2.277778,1.12963,2.277778,4.151854,6.444445,5.666666,5.333334,8.333334,-2.333333,-3.333333,5.666666,8.333334,0.427354,1.984366,negative
207,115,9,0,0,1.055556,0.32963,0.166667,0.033333,1.222222,0.444444,2.888889,0.333333,-2.333333,5,-2.666667,2.888889,0.933333,-2.065536,negative
6,51,9,0,0,1.666667,1.999999,1.611111,2.107407,19.592592,18.777779,25.666666,14.333333,-2.444444,18.222221,-15.777778,25.666666,0.442861,-1.68129,positive
203,182,9,0,0,3.722222,2.576964,3.611111,1.705112,54.925926,49.444443,68.111115,47.22222,-16.444445,39.555557,-23.11111,68.111115,0.306722,-1.980348,negative
243,120,9,0,0,4.444445,4.359749,1.555555,1.833839,47.851852,44.77778,56.333332,42.444443,-9.222222,25.444445,-16.222221,56.333332,0.245321,-1.910735,negative
